Curso,Disciplina,Natureza,Tipo de Bibliografia,Correspondência,Livro no PPC,Livro no campus,Autor,Edição,Volume,Exemplares,Título comparado,valor_livro_novo,site_preco,observacao
Matemática,"Ética, Cidadania e Direitos Humanos",Obrigatória,Básica,Não,"CHAUÍ, M.; SANTOS, B. de S. Direitos humanos, democracia e desenvolvimento. São Paulo: Cortez, 2013.",,,,,0,de S,"R$ 60,30",https://www.livroselivros.com.br/direitos-humanos-democracia-e-desenvolvimento,Preço de exemplar físico novo no varejo brasileiro.
Matemática,"Ética, Cidadania e Direitos Humanos",Obrigatória,Básica,Não,"SANTOS, B. de S. (Org.). Democratizar a Democracia: os caminhos da democracia participativa. Rio de Janeiro: Civilização Brasileira, 2002.",,,,,0,de S,Não encontrado,https://www.livrariaberinjela.com.br/livros/democratizar-a-democracia-os-caminhos-da-democracia-participativa-34163,Na consulta atual encontrei apenas anúncios de exemplares usados; não localizei oferta de livro físico novo.
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"CAPELLINI, V. L. M. F., & Zerbato, A. P. O que é Ensino Colaborativo? São Paulo: Edicon, 2019. GLATR.; PLETSCH, M. D. (Orgs.). Estratégias educacionais diferenciadas para alunos com necessidades especiais. Rio de Janeiro: EdUERJ, 2013.",,,,,0,"F., & Zerbato, A",Não encontrado,,A linha combina duas referências distintas em um único campo; não há um único preço de livro para registrar com segurança.
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"GARCIA, J. C. D. Livro Branco da Tecnologia Assistiva no Brasil. ITS BRASIL, 2017.",,,,,0,Livro Branco da Tecnologia Assistiva no Brasil,Não encontrado,https://educ.rec.br/educarecife/2021/08/31/livro-branco-da-tecnologia-assistiva-no-brasil/,Encontrei apenas acesso/download gratuito do conteúdo; não localizei oferta de livro físico novo.
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"HEREDERO, E. S. Diretrizes para o Desenho Universal para a Aprendizagem (DUA). Revista Brasileira de Educação Especial, v 26 (4). Oct-Dec, 2020.",,,,,0,Diretrizes para o Desenho Universal para a Aprendizagem (DUA),Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"FERRAZ, A. P. C. M.; BELHOT, R. V. Taxonomia de Bloom: revisão teórica e apresentação das adequações do instrumento para definição de objetivos instrucionais. Gestão e Produção, v. 17, n. 2, p. 421-431, 2010.",,,,,0,Taxonomia de Bloom: revisão teórica e apresentação das adequações do instrumento para definição de objetivos instrucionais,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"LIBERALESSO, P.; LACERDA, L. Autismo: compreensão e práticas baseadas em evidências. Curitiba: Marcos Valentin de Souza, 2020",,,,,0,Autismo: compreensão e práticas baseadas em evidências,Não encontrado,https://www.goodreads.com/book/show/60639109-autismo,"Confirmei a existência do título, mas não localizei oferta atual confiável de exemplar físico novo com preço."
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"MARTINS, C; GIRAFFA, L. M. M. Gamificação nas práticas pedagógicas: teorias, modelo e vivências. In: TISE 2015 - XX Congreso Internacional de Informática Educativa, 2015, Santiago - Chile. Nuevas Ideas en Informática Educativa Memorias del XX Congreso Internacional de Informática Educativa. Santiago de Chile: Universidad de Chile, 2015. v. 11. p. 42-53.",,,,,0,"Gamificação nas práticas pedagógicas: teorias, modelo e vivências",Não encontrado,,"Referência de trabalho em anais de congresso, não de livro físico."
Matemática,Práticas de Educação Acessível,Obrigatória,Básica,Não,"MENDES, E. G.; VILARONGA, C. A. R.; ZERBATO, A. P. Ensino colaborativo como apoio à inclusão escolar: unindo esforços entre educação comum e especial. São Carlos: UFSCar, 2014",,,,,0,Ensino colaborativo como apoio à inclusão escolar: unindo esforços entre educação comum e especial,"R$ 33,70",https://www.estantevirtual.com.br/livro/ensino-colaborativo-como-apoio-a-inclusao-escolar-09W-3179-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual.
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"PONTE, J. P.; BROCARDO, J.; OLIVEIRA, H. Investigações Matemáticas na sala de aula. 2 ed. Belo Horizonte: Autêntica, 2009.",,,,,0,Investigações Matemáticas na sala de aula,"R$ 40,05",https://www.estantevirtual.com.br/livro/investigacoes-matematicas-na-sala-de-aula-nova-edicao-00U-1660-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual para a edição nova disponível atualmente.
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"PONTE, J.P.; OLIVEIRA, H.; BRUNHEIRA, L.; VARANDAS, J. M.; FERREIRA, C. O trabalho do professor numa aula de investigação matemática. Quadrante, 7(2), 41-70, 1998.",,,,,0,O trabalho do professor numa aula de investigação matemática,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Práticas de investigação em Educação Matemática,Obrigatória,Básica,Não,"SKOVSMOSE, O. Cenários de investigação. Bolema- Boletim de Educação Matemática, Rio Claro (SP) n.14, p. 66-91, 2000.",,,,,0,Cenários de investigação,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Psicologia da Educação,Obrigatória,Básica,Não,"CHECCHIA, A. K. A. Contribuições da psicologia escolar para formação dos professores: um olhar para a disciplina Psicologia da Educação. São Paulo: Dialética, 2020.",,,,,0,Contribuições da psicologia escolar para formação dos professores: um olhar para a disciplina Psicologia da Educação,Não encontrado,https://repositorio.usp.br/item/003079892,"Confirmei a obra, mas não localizei oferta atual confiável de exemplar físico novo com preço."
Matemática,Psicologia da Educação,Obrigatória,Básica,Não,"COLL, C. et al (Org.). Desenvolvimento psicológico e educação. vol. 1. Porto Alegre: Artmed, 2004.",,,,,0,(Org.),"R$ 171,20",https://www.livrariaflorence.com.br/produto/livro-desenvolvimento-psicologico-e-educacao-vol-1-psicologia-evolutiva-coll-marchesi-palaci-144521,Preço de exemplar físico novo para o volume 1.
Matemática,Psicologia da Educação,Obrigatória,Básica,Não,"OLIVEIRA, M. K. et al. (Org). Psicologia, educação e as temáticas da vida contemporânea. São Paulo: Moderna, 2002.",,,,,0,"OLIVEIRA, M. K. et al. (Org). Psicologia, educação e as temáticas da vida contemporânea. São Paulo: Moderna, 2002.",Não encontrado,https://www.estantevirtual.com.br/busca/psicologia%2C-educa%C3%A7%C3%A3o-e-as-tem%C3%A1ticas-da-vida-contempor%C3%A2nea,Na consulta atual encontrei apenas exemplares usados; não localizei oferta de livro físico novo.
Matemática,Mídias Digitais,Obrigatória,Básica,Não,"KOTLER, P.; KARTAJAYA, H.; SETIAWAN, I. Marketing 5.0: Tecnologia para a humanidade. Editora Sextante, 2021. Principais profissões do marketing digital em 2023. Disponível em: https://www.hostinger.com.br/tutoriais/profissoes-domarketing-digital. Acesso em: 15/06/2024.",,,,,0,Marketing 5.0: Tecnologia para a humanidade,"R$ 45,00",https://sebouniversocultural.com.br/produtos/marketing-5-0-tecnologia-para-a-humanidade-autor-philip-kotler-2021-novo-y3zf0/,Preço de exemplar físico novo encontrado; a referência do CSV mistura o livro com um link complementar sobre marketing digital.
Matemática,Mídias Digitais,Obrigatória,Básica,Não,"SANTOS, P. As redes sociais mais usadas no Brasil em 2024: tudo o que você precisa saber sobre cada rede social. 2023. Disponível em: https://www.conversion.com.br/blog/redes-sociais/. Acesso em: 15/06/2024.",,,,,0,As redes sociais mais usadas no Brasil em 2024: tudo o que você precisa saber sobre cada rede social,Não encontrado,https://www.conversion.com.br/blog/redes-sociais/,"Referência de postagem/artigo online, não de livro físico."
Matemática,Divulgação Científica,Obrigatória,Básica,Não,"MASSARANI, L., CASTELFRANCHI, Y.; FAGUNDES, V.",,,,,0,"MASSARANI, L., CASTELFRANCHI, Y.; FAGUNDES, V",Não encontrado,,Referência incompleta no CSV; não há dados suficientes para identificar um livro físico específico.
Matemática,Divulgação Científica,Obrigatória,Básica,Não,"MOREIRA, I. O que os jovens brasileiros pensam da ciência e da tecnologia: pesquisa realizada pelo Instituto Nacional de Ciência e Tecnologia em Comunicação Pública da Ciência e Tecnologia (INCT-CPCT). Rio de Janeiro: Fiocruz/COC; INCT-CPCT, 2021. 225 p.",,,,,0,O que os jovens brasileiros pensam da ciência e da tecnologia: pesquisa realizada pelo Instituto Nacional de Ciência e Tecnologia em Comunicação Pública da Ciência e Tecnologia (INCT-CPCT),Não encontrado,https://coc.fiocruz.br/todas-as-noticias/livro-discute-o-que-jovem-brasileiro-pensa-da-ciencia/,O material foi divulgado para leitura/distribuição gratuita; não localizei oferta de livro físico novo.
Matemática,Divulgação Científica,Obrigatória,Básica,Não,"MASSARANI, L., MOREIRA, I. C., BRITO, F. (org.). Ciência e público: Caminhos da divulgação científica no Brasil. Rio de Janeiro: Casa da Ciência/UFRJ, 2002.",,,,,0,(org.),Não encontrado,https://www.portaldoslivreiros.com.br/livro.asp?codigo=7477475&titulo=Ciencia+E+Publico+%3A+Caminhos+Da+Divulgacao+Cientifica+No+Brasil,Na consulta atual encontrei apenas exemplar usado; não localizei oferta de livro físico novo.
Matemática,Divulgação Científica,Obrigatória,Básica,Não,"PINTO, G. A. (Org.). Divulgação Científica e práticas educativas. Curitiba: CRV, 2010.",,,,,0,(Org.),Não encontrado,https://www.estantevirtual.com.br/livro/divulgacao-cientifica-e-praticas-educativas-0I1-2655-000-BK,Na consulta atual encontrei apenas exemplar usado; não localizei oferta de livro físico novo.
Matemática,Geometria Espacial,Obrigatória,Básica,Não,"CASTANHEIRA, N. P. Geometrias Não Euclidianas. Curitiba: Intersaberes, 2020.",,,,,0,Geometrias Não Euclidianas,"R$ 66,30",https://www.estantevirtual.com.br/livro/geometrias-nao-euclidianas-08O-1321-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual.
Matemática,Geometria Espacial,Obrigatória,Básica,Não,"GERÔNIMO, J. R., FRANCO, V. S. Geometria Plana e Espacial: um estudo axiomático. 2. ed. Maringá: EDUEM, 2010. Disponível em: http://old.periodicos.uem.br/~eduem/novapagina/?q=node/72 Acesso em: 10/06/2024. .",,,,,0,Geometria Plana e Espacial: um estudo axiomático,Não encontrado,https://livraria.eduem.uem.br/loja/geometria-plana-e-espacial-um-estudo-axiomatico-2a-ed/,A página atual da EDUEM informa que o livro não está disponível para compra; há apenas download.
Matemática,Geometria Espacial,Obrigatória,Básica,Não,"MACHADO, C.P., FERRAZ, M. S. A. Fundamentos de Geometria. Porto Alegre: SAGAH, 2019.",,,,,0,Fundamentos de Geometria,Não encontrado,https://loja.grupoa.com.br/eb-ead-fundamentos-de-geometria9788595029682-p1009840,Localizei apenas oferta de ebook; não usei por não ser livro físico novo.
Matemática,Educação Ambiental,Obrigatória,Básica,Não,"CARVALHO, I. C. De M. Educação Ambiental: a Formação do Sujeito Ecológico. São Paulo: Cortez, 2004.",,,,,0,De M,"R$ 85,00",https://livrariapontadelanca.com.br/produto/educacao-ambiental-a-formacao-do-sujeito-ecologico/,Preço de exemplar físico novo encontrado para edição atualmente disponível da obra.
Matemática,Educação Ambiental,Obrigatória,Básica,Não,"PHILIPPI JUNIOR, A.; PELICONI, M. C. F. (eds). Educação Ambiental e Sustentabilidade. Barueri: Editora Manole, 2014. Disponível em: https://minhabiblioteca.ufpr.br/biblioteca/ . Acesso em: 12/05/2024.",,,,,0,(eds),"R$ 994,00",https://www.ldseditora.com.br/Educacao-Ambiental-e-Sustentabilidade~457~2~1~Livros~Nacional,Preço de exemplar físico novo encontrado em loja brasileira; valor muito acima do usual nas demais referências pesquisadas.
Matemática,Educação Ambiental,Obrigatória,Básica,Não,"RUSCHEINSKY, A. (org). Educação Ambiental: abordagens múltiplas. Porto Alegre: Penso, 2012. Disponível em: https://minhabiblioteca.ufpr.br/biblioteca/ . Acesso em: 12/05/2024.",,,,,0,(org),"R$ 48,00",https://www.estantevirtual.com.br/livro/educacao-ambiental-abordagens-multiplas-1ed--0L4-5134-000-BK,Preço de exemplar físico novo encontrado na Estante Virtual.
Matemática,Pensamento algébrico,Obrigatória,Básica,Não,"ALMEIDA, J. R.; CÂMARA, M. Pensamento Algébrico: em busca de uma definição. Revista Paranaense de Educação Matemática, Campo Mourão, v. 6, n. 10, p.34-60, jun. 2017.",,,,,0,Pensamento Algébrico: em busca de uma definição,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Pensamento algébrico,Obrigatória,Básica,Não,"BLANTON, M. L.; KAPUT, J. J. Caracterizando uma prática de sala de aula que promove o raciocínio algébrico. Revista de pesquisa em educação matemática, v. 36, n. 5, pág. 412- 446, 2005.",,,,,0,Caracterizando uma prática de sala de aula que promove o raciocínio algébrico,Não encontrado,,"Referência de artigo de periódico, não de livro físico."
Matemática,Pensamento algébrico,Obrigatória,Básica,Não,"NACARATO, A. M.; CUSTÓDIO, I. A. da. O Desenvolvimento do pensamento algébrico na educação básica [livro eletrônico]: compartilhando propostas de sala de aula com o professor que ensina (ensinará) matemática. -- Brasília: Sociedade Brasileira de Educação Matemática, 2018. -(Coleção SBEM; 12). Disponível em: https://www.sbembrasil.org.br/files/ebook_desenv.pdf Acesso em: 16/06/2014.",,,,,0,da,Não encontrado,https://www.sbembrasil.org.br/files/ebook_desenv.pdf,A própria referência indica livro eletrônico em PDF; não há livro físico novo identificado na consulta atual.
